[,',N,e,t,z,e,r,',",", ,',R,e,n,i,s,h,a,w, ,1,',",", ,',R,e,n,i,s,h,a,w, ,2,',",", ,',R,e,n,i,s,h,a,w, ,A,d,j,u,s,t,e,d,',",", ,',Z,e,t,t,l,e,x,',]
6844000000,161.44398498,161.40829467,161.42614746,161.37542724
6844000000,161.43002319,161.4440155,161.40829467,161.42616271,161.42349243
6844000000,69458.0,161.44398498,161.40829467,161.42614746,161.37542724
6844000000,161.43002319,161.4440155,161.40829467,161.42616271,161.42349243
6844000000,0.0010376,0.0,0.0,0.0,359.99450683
6844000000,0.00033569,0.0,0.0,0.0,359.96154785
6844000000,0.0,360.0,0.0,0.0,359.97940063
6859000000,0.00033569,359.99993896,0.0,359.99996948,359.94918823
6859000000,0.00033569,0.0,0.0,0.0,359.9684143
6859000000,359.9996643,360.0,0.0,359.99996948,359.94781494
6859000000,359.99932861,0.0,3.052e-05,0.0,0.02334595
6859000000,0.0,0.0,0.0,0.0,359.89562988
6859000000,0.00033569,359.99996948,0.0,359.99996948,359.96704101
6875000000,0.00033569,359.99996948,0.0,0.0,359.9835205
6875000000,359.99932861,0.0,0.0,0.0,0.04257202
6875000000,359.99932861,360.0,0.0,0.0,0.00137329
6875000000,0.00033569,0.0,0.0,0.0,0.02059937
6875000000,0.00033569,0.0,0.0,0.0,359.90112304
6875000000,0.00033569,0.0,0.0,359.99996948,359.97940063
6875000000,0.0007019,359.99996948,3.052e-05,0.0,359.99038696
6875000000,0.0,360.0,0.0,0.0,0.05355835
6891000000,0.0,360.0,0.0,0.0,0.0
6891000000,0.0,360.0,3.052e-05,0.0,0.0151062
6891000000,0.0007019,360.0,0.0,0.0,359.87915039
6891000000,0.00033569,0.0,0.0,0.0,359.98489379
6891000000,0.00033569,360.0,0.0,0.0,359.98901367
6891000000,0.0010376,360.0,0.0,0.0,0.02197266
6891000000,0.0,359.99996948,0.0,0.0,359.9986267
6891000000,0.0007019,0.0,0.0,0.0,0.01785278
6906000000,0.0,360.0,6.104e-05,1.526e-05,359.9079895
6906000000,359.9996643,0.0,3.052e-05,0.0,359.98626708
6906000000,0.0,0.0,3.052e-05,1.526e-05,359.91897583
6906000000,0.0007019,1.526e-05,0.0,0.0,0.02059937
6906000000,0.0,0.0,3.052e-05,1.526e-05,359.90524291
6906000000,0.0,360.0,0.0,0.0,0.00823975
6906000000,0.0007019,360.0,3.052e-05,0.0,359.9230957
6922000000,0.0007019,0.0,0.0,0.0,359.94781494
6922000000,0.0010376,0.0,3.052e-05,1.526e-05,359.93408203
6922000000,0.00033569,360.0,3.052e-05,0.0,359.99313354
6922000000,0.0007019,0.0,0.0,0.0,359.90936279
6922000000,359.9996643,0.0,0.0,0.0,0.01785278
6922000000,0.00033569,0.0,3.052e-05,0.0,359.9079895
6922000000,0.00033569,0.0,0.0,0.0,359.94644165
6922000000,0.00033569,0.0,0.0,0.0,359.93682861
6922000000,0.00033569,0.0,0.0,0.0,359.98626708
6938000000,359.99932861,0.0,0.0,0.0,359.90386962
6938000000,0.0,360.0,3.052e-05,0.0,0.01785278
6938000000,0.0007019,0.0,0.0,0.0,359.92172241
6938000000,0.0,0.0,3.052e-05,0.0,359.96978759
6938000000,359.9996643,0.0,0.0,0.0,359.9079895
6938000000,0.00033569,0.0,3.052e-05,0.0,359.98214721
6938000000,0.0,360.0,3.052e-05,0.0,359.93270874
6938000000,0.00033569,360.0,0.0,0.0,0.02609253
6938000000,0.0,360.0,0.0,0.0,359.93133544
6938000000,0.0,0.0,3.052e-05,1.526e-05,359.97390747
6953000000,0.00033569,0.0,0.0,1.526e-05,359.92858886
6953000000,0.00033569,0.0,0.0,0.0,359.99450683
6953000000,0.0007019,1.526e-05,3.052e-05,1.526e-05,359.92446899
6953000000,359.9996643,3.052e-05,0.0,1.526e-05,0.02883911
7016000000,0.0,1.526e-05,0.0,1.526e-05,359.91485595
7125000000,0.00137329,0.0,0.0,0.0,359.99588012
7234000000,0.0007019,0.0,3.052e-05,1.526e-05,359.91760253
7344000000,0.0007019,0.0,0.0,0.0,0.00137329
7453000000,0.0007019,0.0,3.052e-05,0.0,359.91622924
7547000000,0.0,0.0,0.0,0.0,0.0151062
